activity_id,policy_name,instrument_name,policy_axis,activity_name,activity_description,responsible_area,execution_period,keywords
ACT-052,Plan Estratégico ANE 2025-2031,Plan Estratégico ANE 2025-2031,"OBJETIVO ESTRATEGICO 3: Visibilizar el impacto de la gestión del espectro en la actividad del Estado, el sector privado y la ciudadanía","OBJETIVOS ESPECIFICOS: 
3.2. Disponer de estrategias de relacionamiento adecuadas para los grupos de interés

LINEAS DE ACCION:
3.2.1. Caracterización de los grupos de interés de la ANE y desarrollo de estrategias para su atención y relacionamiento","OBJETIVO ESTRATEGICO 3: Visibilizar el impacto de la gestión del espectro en la actividad del Estado, el sector privado y la ciudadanía",,2025-2028,Datos IA gobernanza
ACT-053,Plan Estratégico ANE 2025-2031,Plan Estratégico ANE 2025-2031,"OBJETIVO ESTRATEGICO 3: Visibilizar el impacto de la gestión del espectro en la actividad del Estado, el sector privado y la ciudadanía","OBJETIVOS ESPECIFICOS: 
3.2. Disponer de estrategias de relacionamiento adecuadas para los grupos de interés

LINEAS DE ACCION:
3.2.2. Consolidación de estrategias frente a las necesidades y expectativas de los grupos de interés","OBJETIVO ESTRATEGICO 3: Visibilizar el impacto de la gestión del espectro en la actividad del Estado, el sector privado y la ciudadanía",,2025-2028,Datos IA gobernanza
ACT-054,PETIC 2025-2028 ANE,PETIC 2025-2028 ANE,No. 1: Generar un entorno apropiado para la innovación en la gestión y en el uso del espectro,"""Mejorar el proceso de gestión del espectro el cual desarrollan de manera colaborativa el MINTIC y la ANE y simplificar el trámite designación de espectro."" (Visor de Espectro)",No. 1: Generar un entorno apropiado para la innovación en la gestión y en el uso del espectro,,No definida,Datos IA gobernanza
ACT-055,PETIC 2025-2028 ANE,PETIC 2025-2028 ANE,No. 2: Contar con un modelo óptimo de operación para la ANE,"""Interoperabilidad, uso y apropiación usuarios externos."" (Plataforma Espacios en Blanco)",No. 2: Contar con un modelo óptimo de operación para la ANE,,No definida,Datos IA gobernanza
ACT-056,PETIC 2025-2028 ANE,PETIC 2025-2028 ANE,No. 2: Contar con un modelo óptimo de operación para la ANE,"""Integración de los diferentes portales de la entidad en una única sede electrónica de acuerdo con los lineamientos definidos por MinTIC y Gov.co."" (Visor de Espectro y CNABF)",No. 2: Contar con un modelo óptimo de operación para la ANE,,No definida,"petic, 2025-2028, contar, modelo, óptimo, operación, para, integración"
ACT-057,PETIC 2025-2028 ANE,PETIC 2025-2028 ANE,"No. 3: Visibilizar el impacto de la gestión del espectro en la actividad del Estado, el sector privado y la ciudadanía","""Extracción, transformación/calidad, carga de datos para análisis de estos."" (Analítica de datos aplicada a mediciones de espectro)","No. 3: Visibilizar el impacto de la gestión del espectro en la actividad del Estado, el sector privado y la ciudadanía",,No definida,Datos IA gobernanza
ACT-058,Política de espectro 2025 - 2028,Política de espectro 2025 - 2028,6.1 Fortalecer la identificación y estimación de demanda de espectro (Disponibilidad para usos a futuro),"Determinar e implementar las acciones requeridas para la adecuada gestión de bandas de frecuencias que fueron identificadas en la CMR23 y aquellas por identificar en la CMR27, a través de la realización de los estudios técnicos necesarios, que consideren criterios como la manifestación de necesidades por parte de grupos de interés, la asignación existente y mediciones en campo, entre otros.",6.1 Fortalecer la identificación y estimación de demanda de espectro (Disponibilidad para usos a futuro),,2025-2027,"Datos IA gobernanza, Internacional"
ACT-059,Política de espectro 2025 - 2028,Política de espectro 2025 - 2028,6.1	Línea de acción 1 – Fortalecer la identiﬁcación y estimación de demanda de espectro (Disponibilidad para usos a futuro) y optimizar el uso por parte de sistemas tradicionales,"Se fortalecerán los modelos de demanda de espectro con que cuenta en la actualidad la ANE para proyectar las necesidades de espectro IMT, redes de backhaul y espectro de uso no licenciado. Para esto, se adelantará una revisión integral de los tres modelos que considere la reformulación de las variables y supuestos utilizados, así como las tendencias en el uso del espectro para cada uno de los modelos existentes.",6.1	Línea de acción 1 – Fortalecer la identiﬁcación y estimación de demanda de espectro (Disponibilidad para usos a futuro) y optimizar el uso por parte de sistemas tradicionales,,2025-2027,"6 GHz Wi-Fi uso libre, IMT 5G bandas, Datos IA gobernanza"
ACT-060,Política de espectro 2025 - 2028,Política de espectro 2025 - 2028,6.1 Fortalecer la identificación y estimación de demanda de espectro (Disponibilidad para usos a futuro),"Adoptar una hoja de ruta que visibilice la disponibilidad y posible asignación de espectro para servicios móviles (IMT), que se actualizará periódicamente.",6.1 Fortalecer la identificación y estimación de demanda de espectro (Disponibilidad para usos a futuro),,2025 - 2027,IMT 5G bandas
ACT-061,Política de espectro 2025 - 2028,Política de espectro 2025 - 2028,6.1 Fortalecer la identificación y estimación de demanda de espectro (Disponibilidad para usos a futuro),Analizar de forma detallada las tecnologías disponibles para soportar la implementación de soluciones inalámbricas de conectividad en zonas rurales y apartadas.,6.1 Fortalecer la identificación y estimación de demanda de espectro (Disponibilidad para usos a futuro),,2025 -2026,Datos IA gobernanza
ACT-062,Política de espectro 2025 - 2028,Política de espectro 2025 - 2028,6.1 Fortalecer la identificación y estimación de demanda de espectro (Disponibilidad para usos a futuro),Definir la necesidad de contar con estimaciones de demanda para otros servicios de comunicaciones adicionales a los caracterizados con los tres modelos de demanda con que cuenta la ANE.,6.1 Fortalecer la identificación y estimación de demanda de espectro (Disponibilidad para usos a futuro),,2026-2027,"política, espectro, 2025, 2028, fortalecer, identificación, estimación, demanda"
ACT-063,Política de espectro 2025 - 2028,Política de espectro 2025 - 2028,6.2 Profundizar en la gestión del espectro para soportar actividades públicas,"Se instalará una mesa de trabajo con entidades públicas que hagan uso de servicios de comunicaciones inalámbricas para sus actividades y que presten servicios públicos como educación, seguridad, transporte, servicios públicos domiciliarios, etc.",6.2 Profundizar en la gestión del espectro para soportar actividades públicas,,2026,Datos IA gobernanza
ACT-064,Política de espectro 2025 - 2028,Política de espectro 2025 - 2028,6.2 Profundizar en la gestión del espectro para soportar actividades públicas,"Con base en el trabajo adelantado con la Aeronáutica Civil y la Dirección Marítima previo a la expedición de esta política pública, se establecerán e implementarán los mecanismos adecuados que sean requeridos para la gestión conjunta del espectro con dichas entidades",6.2 Profundizar en la gestión del espectro para soportar actividades públicas,,2026,"política, espectro, 2025, 2028, profundizar, gestión, para, soportar"
ACT-065,Política de espectro 2025 - 2028,Política de espectro 2025 - 2028,6.3 Innovación en la gestión y uso del espectro,"Se implementará un observatorio de mecanismos flexibles de acceso y uso del espectro en el cual se haga seguimiento a mejores prácticas observadas en otros países, así como a casos prácticos de implementación",6.3 Innovación en la gestión y uso del espectro,,2025 - 2026,Compartición flexible
ACT-066,Política de espectro 2025 - 2028,Política de espectro 2025 - 2028,6.3 Innovación en la gestión y uso del espectro,"Formulación de una estrategia en la que la ANE y el MinTIC, promuevan la identificación de posibles casos de uso con diferentes grupos de interés, públicos y privados, junto con quienes se identificarán los mecanismos regulatorios innovadores aplicables a distintos tipos de necesidades asociadas con el acceso al espectro por parte de dichos actores",6.3 Innovación en la gestión y uso del espectro,,2026,Datos IA gobernanza
ACT-067,Política de espectro 2025 - 2028,Política de espectro 2025 - 2028,6.3 Innovación en la gestión y uso del espectro,"Se realizará un estudio del marco constitucional y legal existente en Colombia, con el fin de determinar posibles ajustes requeridos para viabilizar los mercados secundarios de espectro",6.3 Innovación en la gestión y uso del espectro,,2026 -2027,Datos IA gobernanza
ACT-068,Política de espectro 2025 - 2028,Política de espectro 2025 - 2028,6.3 Innovación en la gestión y uso del espectro,"Se adelantará una revisión de mecanismos de asignación que provean a los PRST, operadores, concesionarios y licenciatarios una mayor flexibilidad en el acceso y uso del espectro en el sentido de promover un uso más intensivo del mismo, simplificar las condiciones y obligaciones asociadas con los permisos para ciertos tipos de usos, así como la posibilidad de asignar frecuencias en zonas de distinto alcance geográfico (licenciamiento ligero, simplificación de requisitos, asignación local y regional).",6.3 Innovación en la gestión y uso del espectro,,2027,Datos IA gobernanza
ACT-069,Política de espectro 2025 - 2028,Política de espectro 2025 - 2028,6.4 Promover una mayor oferta de servicios y aplicaciones soportados en tecnologías satelitales,"El MinTIC, con el apoyo de la ANE, definirá una estrategia que promueva el uso de soluciones satelitales para facilitar el acceso a Internet, la prestación de servicios de radiodifusión por satélite, así como aplicaciones y usos de observación de la Tierra por satélite y la navegación, con base en las necesidades de este tipo de usos a nivel nacional",6.4 Promover una mayor oferta de servicios y aplicaciones soportados en tecnologías satelitales,,2025,"Satelital NTN D2D, Datos IA gobernanza"
ACT-070,Política de espectro 2025 - 2028,Política de espectro 2025 - 2028,6.4 Promover una mayor oferta de servicios y aplicaciones soportados en tecnologías satelitales,"El MinTIC, con el apoyo de la ANE, fortalecerá el proceso de gestión del Recurso Órbita Espectro (ROE), y se desarrollarán capacidades internas en ambas entidades, para realizar una efectiva coordinación del ROE colombiano vigente ante la UIT, y la posible necesidad de solicitar ROE adicional para atender las necesidades nacionales a futuro.",6.4 Promover una mayor oferta de servicios y aplicaciones soportados en tecnologías satelitales,,2025 - 2028,"Satelital NTN D2D, Datos IA gobernanza, Internacional"
ACT-071,Política de espectro 2025 - 2028,Política de espectro 2025 - 2028,6.4 Promover una mayor oferta de servicios y aplicaciones soportados en tecnologías satelitales,"El MinTIC, con el apoyo de la ANE, realizará una evaluación de impacto de la implementación de la Resolución MinTIC 376 de 2022, y de encontrarse pertinente realizará las modificaciones que se requieran en el régimen contenido en dicha norma.",6.4 Promover una mayor oferta de servicios y aplicaciones soportados en tecnologías satelitales,,2026,"Satelital NTN D2D, Datos IA gobernanza"
ACT-072,Política de espectro 2025 - 2028,Política de espectro 2025 - 2028,6.4 Promover una mayor oferta de servicios y aplicaciones soportados en tecnologías satelitales,El MinTIC y la ANE formularán una estrategia de participación activa del país en los esfuerzos internacionales tendientes a establecer los criterios técnicos para la utilización del componente satelital de las IMT a través de soluciones Direct-to-Device (D2D).,6.4 Promover una mayor oferta de servicios y aplicaciones soportados en tecnologías satelitales,,2025,"IMT 5G bandas, Satelital NTN D2D, Datos IA gobernanza, Internacional"
ACT-073,Política de espectro 2025 - 2028,Política de espectro 2025 - 2028,"6.5 Fortalecer las capacidades de vigilancia, inspección y control para promover el uso efectivo y eficiente del espectro","Las Subdirecciones de Gestión y Planeación y de Vigilancia y Control de la ANE, definirán los mecanismos de coordinación interna para alinear las actividades de vigilancia e inspección con las necesidades de información relevante sobre el uso del espectro para otras etapas de la gestión de este recurso.","6.5 Fortalecer las capacidades de vigilancia, inspección y control para promover el uso efectivo y eficiente del espectro",,2025,"Datos IA gobernanza, Vigilancia control"
ACT-074,Política de espectro 2025 - 2028,Política de espectro 2025 - 2028,"6.5 Fortalecer las capacidades de vigilancia, inspección y control para promover el uso efectivo y eficiente del espectro","Se definirán los productos de datos que soporten las necesidades recurrentes de información para la formulación y elaboración anual del Plan Maestro de Gestión de Espectro (PMGE), los análisis requeridos en la preparación y definición de posiciones de país de acuerdo con la priorización de puntos de agenda para el ciclo de estudios de la CMR-27, la evaluación de mecanismos de compartición de espectro que se consideren necesarios en el marco de las actividades del observatorio de mecanismos flexibles y las demás actividades de gestión de espectro.","6.5 Fortalecer las capacidades de vigilancia, inspección y control para promover el uso efectivo y eficiente del espectro",,2025,"Compartición flexible, Datos IA gobernanza, Vigilancia control, Internacional"
ACT-075,Política de espectro 2025 - 2028,Política de espectro 2025 - 2028,"6.5 Fortalecer las capacidades de vigilancia, inspección y control para promover el uso efectivo y eficiente del espectro","La ANE adelantará una revisión de experiencias y mejores prácticas internacionales para la vigilancia, inspección y control del espectro, con base en la cual se formularán las adiciones, modificaciones o mejoras requeridas en el Modelo de Vigilancia y Control de la entidad en línea con los lineamientos definidos en esta política, y con un enfoque de gestión de riesgos.","6.5 Fortalecer las capacidades de vigilancia, inspección y control para promover el uso efectivo y eficiente del espectro",,2025-2026,"Datos IA gobernanza, Vigilancia control, Internacional"
ACT-076,Política de espectro 2025 - 2028,Política de espectro 2025 - 2028,"6.5 Fortalecer las capacidades de vigilancia, inspección y control para promover el uso efectivo y eficiente del espectro","Se identificará la necesidad de modernizar y/o fortalecer las herramientas con que cuenta la ANE para la inspección, vigilancia y control del espectro, así como de los sistemas de información utilizados para visualizar y procesar los datos recopilados a partir de la actividad de la ANE","6.5 Fortalecer las capacidades de vigilancia, inspección y control para promover el uso efectivo y eficiente del espectro",,2025-2026,"Datos IA gobernanza, Vigilancia control"
ACT-077,Política de espectro 2025 - 2028,Política de espectro 2025 - 2028,6.6 Integrar a Colombia de una manera más activa en las discusiones internacionales de la gestión de espectro y promover una mayor armonización del espectro,Formulación e implementación de una Estrategia de gestión internacional espectro que tenga en consideración las prioridades y objetivos de la gestión de espectro para Colombia.,6.6 Integrar a Colombia de una manera más activa en las discusiones internacionales de la gestión de espectro y promover una mayor armonización del espectro,,2025,"Datos IA gobernanza, Internacional"
ACT-078,Política de espectro 2025 - 2028,Política de espectro 2025 - 2028,6.6 Integrar a Colombia de una manera más activa en las discusiones internacionales de la gestión de espectro y promover una mayor armonización del espectro,"Definir e implementar una metodología de priorización de puntos de agenda de trabajo para las próximas CMRs, que atienda las necesidades estratégicas del país, los lineamientos legales y de política pública, y los planes vigentes en el sector.",6.6 Integrar a Colombia de una manera más activa en las discusiones internacionales de la gestión de espectro y promover una mayor armonización del espectro,,2027,"Datos IA gobernanza, Internacional"
ACT-079,Política de espectro 2025 - 2028,Política de espectro 2025 - 2028,6.6 Integrar a Colombia de una manera más activa en las discusiones internacionales de la gestión de espectro y promover una mayor armonización del espectro,"Se diseñará y adoptará un esquema de discusión y participación de grupos de interés relevantes. Dicha estructura tendrá en cuenta la priorización de puntos de la agenda de CMR-27 definida por la ANE, así como los demás temas que hagan parte de la estrategia de gestión internacional",6.6 Integrar a Colombia de una manera más activa en las discusiones internacionales de la gestión de espectro y promover una mayor armonización del espectro,,2027,"Datos IA gobernanza, Internacional"
ACT-080,Política de espectro 2025 - 2028,Política de espectro 2025 - 2028,6.6 Integrar a Colombia de una manera más activa en las discusiones internacionales de la gestión de espectro y promover una mayor armonización del espectro,Identificación de prioridades de coordinación internacional y la formulación de una hoja de ruta,6.6 Integrar a Colombia de una manera más activa en las discusiones internacionales de la gestión de espectro y promover una mayor armonización del espectro,,2025 -2027,"Datos IA gobernanza, Internacional"
ACT-081,Política de espectro 2025 - 2028,Política de espectro 2025 - 2028,6.7 Optimizar la gestión del espectro a través de la mejora continua e innovación en las tecnologías de la información que la soportan.,"Proponer ajustes a la arquitectura de TI que soporta la gestión de espectro, que considere el estado actual de evolución de las arquitecturas de tecnologías de la información con que cuenta la ANE y el MinTIC",6.7 Optimizar la gestión del espectro a través de la mejora continua e innovación en las tecnologías de la información que la soportan.,,2025-2027,"Datos IA gobernanza, Internacional"
ACT-082,Política de espectro 2025 - 2028,Política de espectro 2025 - 2028,6.7 Optimizar la gestión del espectro a través de la mejora continua e innovación en las tecnologías de la información que la soportan.,"la ANE y el MinTIC formularán conjuntamente, durante 2025, un plan de digitalización de procesos y herramientas que soportan la gestión de espectro con una visión de 5 años, en línea con los avances en la implementación del Sistema Único de Gestión de Espectro (SUGERE)",6.7 Optimizar la gestión del espectro a través de la mejora continua e innovación en las tecnologías de la información que la soportan.,,2025,Datos IA gobernanza
ACT-083,Política de espectro 2025 - 2028,Política de espectro 2025 - 2028,6.7 Optimizar la gestión del espectro a través de la mejora continua e innovación en las tecnologías de la información que la soportan.,"Se deberá formular e implementar una estrategia de gobernanza de datos para la gestión de espectro de manera conjunta entre la ANE y el MinTIC, enfocada en generar información relevante para la toma de decisiones en las diversas etapas de la gestión del espectro.",6.7 Optimizar la gestión del espectro a través de la mejora continua e innovación en las tecnologías de la información que la soportan.,,2026,Datos IA gobernanza
ACT-084,Política de espectro 2025 - 2028,Política de espectro 2025 - 2028,6.7 Optimizar la gestión del espectro a través de la mejora continua e innovación en las tecnologías de la información que la soportan.,La ANE y el MinTIC identificarán oportunidades de innovación en las herramientas de TI para la gestión de espectro e implementarán las soluciones más adecuadas para el cumplimiento de las actividades de dicha gestión.,6.7 Optimizar la gestión del espectro a través de la mejora continua e innovación en las tecnologías de la información que la soportan.,,2026,Datos IA gobernanza
ACT-085,Política de espectro 2025 - 2028,Política de espectro 2025 - 2028,"6.8 Hacer visible la importancia del espectro para la actividad del Estado, el sector privado y la ciudadanía",Se actualizará la caracterización de grupos de interés adelantada entre 2020 y 2021 con el fin de identificar la evolución de intereses y necesidades de cada uno de dichos grupos,"6.8 Hacer visible la importancia del espectro para la actividad del Estado, el sector privado y la ciudadanía",,2025,Datos IA gobernanza
ACT-086,Política de espectro 2025 - 2028,Política de espectro 2025 - 2028,"6.8 Hacer visible la importancia del espectro para la actividad del Estado, el sector privado y la ciudadanía",Se formulará e implementará la estructura del marco de colaboración y coordinación nacional para la gestión de espectro a partir del establecimiento de instancias de coordinación e interacción con los diversos grupos de interés.,"6.8 Hacer visible la importancia del espectro para la actividad del Estado, el sector privado y la ciudadanía",,No definida,Datos IA gobernanza
ACT-087,Política de espectro 2025 - 2028,Política de espectro 2025 - 2028,"6.8 Hacer visible la importancia del espectro para la actividad del Estado, el sector privado y la ciudadanía",Se diseñará una estrategia para visibilizar el impacto en términos de beneficios económicos y sociales de la gestión y uso del espectro.,"6.8 Hacer visible la importancia del espectro para la actividad del Estado, el sector privado y la ciudadanía",,2026,Datos IA gobernanza
ACT-088,Política de espectro 2025 - 2028,Política de espectro 2025 - 2028,"6.8 Hacer visible la importancia del espectro para la actividad del Estado, el sector privado y la ciudadanía","Se formulará un plan de relacionamiento y divulgación con grupos de interés sobre la importancia de la gestión del espectro, el impacto de esta actividad para el desarrollo económico y social y la relevancia de la integración activa del país en instancias internacionales.","6.8 Hacer visible la importancia del espectro para la actividad del Estado, el sector privado y la ciudadanía",,2026,"Datos IA gobernanza, Internacional"
ACT-089,Plan Estratégico ANE 2025-2028,Plan Estratégico ANE 2025-2028,OBJETIVO ESTRATEGICO 1:  Generar un entorno apropiado para la innovación en la gestión y en el uso del espectro,"OBJETIVOS ESPECIFICOS: 
1.1.	Generar y promover los espacios que faciliten esquemas innovadores para la gestión de espectro.

LINEAS DE ACCION:
1.1.1. Gestión del entorno a nivel nacional e internacional",OBJETIVO ESTRATEGICO 1:  Generar un entorno apropiado para la innovación en la gestión y en el uso del espectro,,2025-2028,"Datos IA gobernanza, Internacional"
ACT-090,Plan Estratégico ANE 2025-2028,Plan Estratégico ANE 2025-2028,OBJETIVO ESTRATEGICO 1:  Generar un entorno apropiado para la innovación en la gestión y en el uso del espectro,"OBJETIVOS ESPECIFICOS: 
1.1.	Generar y promover los espacios que faciliten esquemas innovadores para la gestión de espectro.

LINEAS DE ACCION:
1.1.2. Gestión de estrategias de I+DT+I con grupos de interés",OBJETIVO ESTRATEGICO 1:  Generar un entorno apropiado para la innovación en la gestión y en el uso del espectro,,2025-2028,Datos IA gobernanza
ACT-091,Plan Estratégico ANE 2025-2029,Plan Estratégico ANE 2025-2029,OBJETIVO ESTRATEGICO 1:  Generar un entorno apropiado para la innovación en la gestión y en el uso del espectro,"OBJETIVOS ESPECIFICOS: 
1.2. Desarrollar una cultura institucional de innovación

LINEAS DE ACCION:
1.2.1. Adopción de ambientes de TI para la innovación y el uso de tecnologías emergentes en la ANE",OBJETIVO ESTRATEGICO 1:  Generar un entorno apropiado para la innovación en la gestión y en el uso del espectro,,2025-2028,Datos IA gobernanza
ACT-092,Plan Estratégico ANE 2025-2029,Plan Estratégico ANE 2025-2029,OBJETIVO ESTRATEGICO 1:  Generar un entorno apropiado para la innovación en la gestión y en el uso del espectro,"OBJETIVOS ESPECIFICOS: 
1.2. Desarrollar una cultura institucional de innovación

LINEAS DE ACCION:
1.2.2. Adopción de procesos flexibles que faciliten la innovación",OBJETIVO ESTRATEGICO 1:  Generar un entorno apropiado para la innovación en la gestión y en el uso del espectro,,2025-2028,"Compartición flexible, Datos IA gobernanza"
ACT-093,Plan Estratégico ANE 2025-2029,Plan Estratégico ANE 2025-2029,OBJETIVO ESTRATEGICO 1:  Generar un entorno apropiado para la innovación en la gestión y en el uso del espectro,"OBJETIVOS ESPECIFICOS: 
1.2. Desarrollar una cultura institucional de innovación

LINEAS DE ACCION:
1.2.3. Desarrollo de capacidades en innovación (valores, habilidades, estimulo de creatividad e innovación y estilos de dirección y liderazgo organizacionales)",OBJETIVO ESTRATEGICO 1:  Generar un entorno apropiado para la innovación en la gestión y en el uso del espectro,,2025-2028,Datos IA gobernanza
ACT-094,Plan Estratégico ANE 2025-2030,Plan Estratégico ANE 2025-2030,"OBJETIVO ESTRATEGICO 3: Visibilizar el impacto de la gestión del espectro en la actividad del Estado, el sector privado y la ciudadanía","OBJETIVOS ESPECIFICOS: 
3.1. Determinar el impacto de la gestión del espectro en la actividad del Estado, el sector privado y la ciudadanía

LINEAS DE ACCION:
3.1.1. Diseño de modelos de evaluación de impactos de la gestión y uso del espectro (económico, social, ambiental)","OBJETIVO ESTRATEGICO 3: Visibilizar el impacto de la gestión del espectro en la actividad del Estado, el sector privado y la ciudadanía",,2025-2028,Datos IA gobernanza
ACT-095,Plan Estratégico ANE 2025-2030,Plan Estratégico ANE 2025-2030,"OBJETIVO ESTRATEGICO 3: Visibilizar el impacto de la gestión del espectro en la actividad del Estado, el sector privado y la ciudadanía","OBJETIVOS ESPECIFICOS: 
3.1. Determinar el impacto de la gestión del espectro en la actividad del Estado, el sector privado y la ciudadanía

LINEAS DE ACCION:
3.1.2. Desarrollo de estrategias y líneas de intervención para visibilizar el impacto de la gestión y uso del espectro","OBJETIVO ESTRATEGICO 3: Visibilizar el impacto de la gestión del espectro en la actividad del Estado, el sector privado y la ciudadanía",,2025-2028,Datos IA gobernanza
ACT-096,Plan Estratégico ANE 2025-2031,Plan Estratégico ANE 2025-2031,"OBJETIVO ESTRATEGICO 3: Visibilizar el impacto de la gestión del espectro en la actividad del Estado, el sector privado y la ciudadanía","OBJETIVOS ESPECIFICOS: 
3.2. Disponer de estrategias de relacionamiento adecuadas para los grupos de interés

LINEAS DE ACCION:
3.2.1. Caracterización de los grupos de interés de la ANE y desarrollo de estrategias para su atención y relacionamiento","OBJETIVO ESTRATEGICO 3: Visibilizar el impacto de la gestión del espectro en la actividad del Estado, el sector privado y la ciudadanía",,2025-2028,Datos IA gobernanza
ACT-097,Plan Estratégico ANE 2025-2031,Plan Estratégico ANE 2025-2031,"OBJETIVO ESTRATEGICO 3: Visibilizar el impacto de la gestión del espectro en la actividad del Estado, el sector privado y la ciudadanía","OBJETIVOS ESPECIFICOS: 
3.2. Disponer de estrategias de relacionamiento adecuadas para los grupos de interés

LINEAS DE ACCION:
3.2.2. Consolidación de estrategias frente a las necesidades y expectativas de los grupos de interés","OBJETIVO ESTRATEGICO 3: Visibilizar el impacto de la gestión del espectro en la actividad del Estado, el sector privado y la ciudadanía",,2025-2028,Datos IA gobernanza
ACT-098,PETIC 2025-2028 ANE,PETIC 2025-2028 ANE,No. 1: Generar un entorno apropiado para la innovación en la gestión y en el uso del espectro,"""Mejorar el proceso de gestión del espectro el cual desarrollan de manera colaborativa el MINTIC y la ANE y simplificar el trámite designación de espectro."" (Visor de Espectro)",No. 1: Generar un entorno apropiado para la innovación en la gestión y en el uso del espectro,,No definida,Datos IA gobernanza
ACT-099,PETIC 2025-2028 ANE,PETIC 2025-2028 ANE,No. 2: Contar con un modelo óptimo de operación para la ANE,"""Interoperabilidad, uso y apropiación usuarios externos."" (Plataforma Espacios en Blanco)",No. 2: Contar con un modelo óptimo de operación para la ANE,,No definida,Datos IA gobernanza
ACT-100,PETIC 2025-2028 ANE,PETIC 2025-2028 ANE,No. 2: Contar con un modelo óptimo de operación para la ANE,"""Integración de los diferentes portales de la entidad en una única sede electrónica de acuerdo con los lineamientos definidos por MinTIC y Gov.co."" (Visor de Espectro y CNABF)",No. 2: Contar con un modelo óptimo de operación para la ANE,,No definida,"petic, 2025-2028, contar, modelo, óptimo, operación, para, integración"
ACT-101,PETIC 2025-2028 ANE,PETIC 2025-2028 ANE,"No. 3: Visibilizar el impacto de la gestión del espectro en la actividad del Estado, el sector privado y la ciudadanía","""Extracción, transformación/calidad, carga de datos para análisis de estos."" (Analítica de datos aplicada a mediciones de espectro)","No. 3: Visibilizar el impacto de la gestión del espectro en la actividad del Estado, el sector privado y la ciudadanía",,No definida,Datos IA gobernanza
