senal_regulatoria,tema_estrategico,linea_pmge,tipo_insumo_agenda,relevancia_label,num_documentos,num_fuentes,fuentes,tecnologias,bandas_frecuencia,evidencia,relevancia_score_promedio,actividad_score_promedio,prioridad_score
Consulta de la FCC sobre la expansión del espectro de alta frecuencia para uso satelital,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"Satélites (GSO, NGSO, FSS, alta capacidad), NTN, ESIMs (Earth Stations in Motion), Hardware de alta frecuencia","12.7–13.25 GHz, 42–42.5 GHz, 51.4–52.4 GHz, 92–114.25 GHz (W band), 42.5–43.5 GHz","Conectividad satelital, NTN y D2D; tecnologías: Satélites (GSO, NGSO, FSS, alta capacidad), NTN, ESIMs (Earth Stations in Motion), Hardware de alta frecuencia; bandas: 12.7–13.25 GHz, 42–42.5 GHz, 51.4–52.4 GHz, 92–114.25 GHz (W band).",10.0,3.0,13.0
Consulta de Anatel sobre la subasta de espectro de 700 MHz en Brasil,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"4G, Comunicación inalámbrica","700 MHz, 3.5 GHz, Bandas bajo 1 GHz, 708–718 MHz, 763–773 MHz","Conectividad satelital, NTN y D2D; tecnologías: 4G, Comunicación inalámbrica; bandas: 700 MHz, 3.5 GHz, Bandas bajo 1 GHz, 708–718 MHz.",10.0,3.0,13.0
Consulta sobre la adjudicación de espectro 5G en Paraguay,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"5G, Fixed Wireless Access (FWA), Dense Wavelength Division Multiplexing (DWDM), Optical Line Amplifiers (OLA), Gigabit Passive Optical Network (GPON), Redes seguras, Carrier Aggregation, Mobile telephony, Internet access and data transmission","2.3 GHz, 2.3-2.4 GHz, 3.5 GHz, 3.3-3.7 GHz, 3.7-3.8 GHz, 3.7-4.2 GHz (Fixed Satellite Service), 4.2-4.4 GHz (Aeronautical Radionavigation Service)","Conectividad satelital, NTN y D2D; tecnologías: 5G, Fixed Wireless Access (FWA), Dense Wavelength Division Multiplexing (DWDM), Optical Line Amplifiers (OLA); bandas: 2.3 GHz, 2.3-2.4 GHz, 3.5 GHz, 3.3-3.7 GHz.",10.0,3.0,13.0
Consulta sobre la Política Nacional del Espectro de Colombia 2026-2029,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"5G, 6G, IoT, NTN, LEO, IMT, Servicios móviles, Servicios fijos, Radiodifusión de TV, Radio digital, D2D, Redes industriales, Acceso inalámbrico fijo (FWA)","UHF, VHF, banda Ka, banda Ku","Conectividad satelital, NTN y D2D; tecnologías: 5G, 6G, IoT, NTN; bandas: UHF, VHF, banda Ka, banda Ku.",10.0,3.0,13.0
Consulta de la FCC sobre licencias de EchoStar en la banda de 2 GHz para servicios móviles por satélite,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"Mobile-satellite services (MSS), Advanced Wireless Service (AWS-4), Satélites, NTN","2 GHz band, 2000–2020 MHz, 2180–2200 MHz, AWS-4 bands, 1980–2010 MHz, 2170–2200 MHz","Conectividad satelital, NTN y D2D; tecnologías: Mobile-satellite services (MSS), Advanced Wireless Service (AWS-4), Satélites, NTN; bandas: 2 GHz band, 2000–2020 MHz, 2180–2200 MHz, AWS-4 bands.",10.0,3.0,13.0
Consulta para la adjudicación de espectro 3.5 GHz en Paraguay para 5G,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"5G, Acceso inalámbrico fijo (FWA), IMT (International Mobile Telecommunications), Agregación de portadoras (Carrier aggregation), Telefonía móvil","3.5 GHz, 700 MHz, AWS (1700/2100 MHz), 450 MHz, 850 MHz, 900 MHz, 1500 MHz, 1900 MHz, 2.3 GHz, 2.6 GHz, 4.8–4.9 GHz, 24.25–27.5 GHz, 3.7–4.2 GHz (FSS), 4.2–4.4 GHz (Aeronautical Radionavigation Service)","Conectividad satelital, NTN y D2D; tecnologías: 5G, Acceso inalámbrico fijo (FWA), IMT (International Mobile Telecommunications), Agregación de portadoras (Carrier aggregation); bandas: 3.5 GHz, 700 MHz, AWS (1700/2100 MHz), 450 MHz.",10.0,3.0,13.0
Consulta sobre la banda de 600 MHz para IMT en Chile,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"4G, 5G, IMT, Banda ancha móvil",600 MHz,"Disponibilidad de espectro para IMT; tecnologías: 4G, 5G, IMT, Banda ancha móvil; bandas: 600 MHz.",10.0,3.0,13.0
Despliegue de 5G y asignación de espectro en América Latina,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"5G, 4G, IoT, Robótica, Redes móviles","3.5 GHz, 600 MHz, 700 MHz, 24 GHz, 26 GHz, 28 GHz, 2.3 GHz, 2.5 GHz, 6 GHz, 3.45-4 GHz, 3.65-3.9 GHz, mmWave, 3400-3600 MHz, AWS, 1427-1518 MHz, 2.3-2.4 GHz, 2.5-2.69 MHz, 3.3-3.4 GHz, 4.8-4.9 GHz, 24.25-27.5 GHz, 3.4-3.7 GHz, 800 MHz, 850 MHz, 2.1 GHz, 1.9 GHz, Bajo 1 GHz","Disponibilidad de espectro para IMT; tecnologías: 5G, 4G, IoT, Robótica; bandas: 3.5 GHz, 600 MHz, 700 MHz, 24 GHz.",10.0,3.0,13.0
Determinación y pago de tasas únicas por licencias de espectro móvil en Europa,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"LTE, 5G, GSM, UMTS, WLL","800 MHz, 2.6 GHz, 700 MHz, 3.5 GHz, 900 MHz, 1800 MHz, 2.1 GHz, 2.3 GHz, 26 GHz, 3.6-3.8 GHz, 3.4-3.8 GHz, 1500 MHz","Disponibilidad de espectro para IMT; tecnologías: LTE, 5G, GSM, UMTS; bandas: 800 MHz, 2.6 GHz, 700 MHz, 3.5 GHz.",10.0,3.0,13.0
Consulta sobre licitación de espectro 5G en Chile,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"5G, Redes privadas, Servicios móviles avanzados","3.5 GHz, 3450-3500 MHz, 3650-3800 MHz","Disponibilidad de espectro para IMT; tecnologías: 5G, Redes privadas, Servicios móviles avanzados; bandas: 3.5 GHz, 3450-3500 MHz, 3650-3800 MHz.",10.0,3.0,13.0
Futuro uso y regulación de la banda sub-700 MHz en la UE,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"Digital Terrestrial Television (DTT), Wireless audio microphones (PMSE), Wireless electronic communications networks (ECNs), High efficiency video coding (HEVC), Ultra-high definition (UHD), 5G, IMT, Mobile applications, Wind profiler radars, Radio astronomy","700 MHz, 800 MHz, 600 MHz, UHF","Disponibilidad de espectro para IMT; tecnologías: Digital Terrestrial Television (DTT), Wireless audio microphones (PMSE), Wireless electronic communications networks (ECNs), High efficiency video coding (HEVC); bandas: 700 MHz, 800 MHz, 600 MHz, UHF.",10.0,3.0,13.0
Gestión del espectro y despliegue 5G en la Unión Europea,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"5G, Redes de acceso inalámbrico de área pequeña (SAWAPs), Small cells, Banda ancha inalámbrica, Máquina a máquina (M2M), Sistemas de antena activa (AAS), Servicios de comunicaciones electrónicas (ECS)","470–790 MHz, 700 MHz, 800 MHz, 900 MHz, 1800 MHz, 2 GHz, 2.6 GHz, 3.4–3.8 GHz, 26 GHz, 66–71 GHz","Disponibilidad de espectro para IMT; tecnologías: 5G, Redes de acceso inalámbrico de área pequeña (SAWAPs), Small cells, Banda ancha inalámbrica; bandas: 470–790 MHz, 700 MHz, 800 MHz, 900 MHz.",10.0,3.0,13.0
Gestión del espectro para redes 5G locales y privadas,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"5G, Wi-Fi, Wireless Broadband (WBB LMP), Radio altímetros, Network slicing, Drones","3.4–3.8 GHz, 26 GHz, 3.8–4.2 GHz, 2.3 GHz, 1800 MHz, 40 GHz, 2.6 GHz, 3.3–4.2 GHz, 4.2–4.4 GHz, Rango de banda media (2–7 GHz), Por debajo de 1 GHz","Disponibilidad de espectro para IMT; tecnologías: 5G, Wi-Fi, Wireless Broadband (WBB LMP), Radio altímetros; bandas: 3.4–3.8 GHz, 26 GHz, 3.8–4.2 GHz, 2.3 GHz.",10.0,3.0,13.0
Desarrollo de la hoja de ruta del espectro de Nigeria para 2025-2030,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"5G, 6G, NTN, Satélites, IoT, Wi-Fi, WiGig, IA, Redes privadas, Fixed Wireless Access (FWA), 4G","6 GHz, 60 GHz, 700 MHz, 800 MHz, 900 MHz, 1.8 GHz, 2.1 GHz, 2.3 GHz, 2.6 GHz, 3.5 GHz, Banda L, Banda S, Banda C, Banda E, banda Ka, banda Ku, 450 MHz, 600 MHz, 1.5 GHz, mmWave, Banda Q, Banda V","Conectividad satelital, NTN y D2D; tecnologías: 5G, 6G, NTN, Satélites; bandas: 6 GHz, 60 GHz, 700 MHz, 800 MHz.",10.0,3.0,13.0
Disponibilidad y uso de LTE y 5G en bandas de baja frecuencia (410-430 MHz y 450-470 MHz) en Europa,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"LTE, 5G, 3GPP, 4G, CDMA, TETRA, PMR, PAMR, M2M, Redes privadas","410–430 MHz, 450–470 MHz, 380–470 MHz, 452.5–457.5 MHz, 462.5–467.5 MHz, 451–456 MHz, 461–466 MHz, 450–455 MHz, 460–465 MHz, 410–415 MHz, 420–425 MHz, 412–417 MHz, 422–427 MHz","Disponibilidad de espectro para IMT; tecnologías: LTE, 5G, 3GPP, 4G; bandas: 410–430 MHz, 450–470 MHz, 380–470 MHz, 452.5–457.5 MHz.",10.0,3.0,13.0
Estado de la banda de 6 GHz en las Américas para Wi-Fi y 5G,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"Wi-Fi, Wi-Fi 6E, 5G, IMT, Servicios satelitales, Enlaces de microondas, Sistemas de backhaul, RLANs, Sistemas de Coordinación Automática de Frecuencia (AFC), Spectrum sharing","6 GHz, 5925–6425 MHz, 6425–7125 MHz, 2.4 GHz (2400–2483.5 MHz), 5 GHz (5150–5850 MHz), 5945–6425 MHz, 6525–6875 MHz, 7110–7725 MHz","Conectividad satelital, NTN y D2D; tecnologías: Wi-Fi, Wi-Fi 6E, 5G, IMT; bandas: 6 GHz, 5925–6425 MHz, 6425–7125 MHz, 2.4 GHz (2400–2483.5 MHz).",10.0,3.0,13.0
Espectro y conectividad rural,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,GSMA,"4G, 5G, IMT, Internet móvil, Redes móviles","Sub-1 GHz, 700 MHz, 2.6 GHz, 3.5–3.8 GHz, 600 MHz, Bandas bajas, Bandas medias","Disponibilidad de espectro para IMT; tecnologías: 4G, 5G, IMT, Internet móvil; bandas: Sub-1 GHz, 700 MHz, 2.6 GHz, 3.5–3.8 GHz.",10.0,3.0,13.0
Espectro para redes 5G industriales y privadas,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"5G, Redes privadas, Redes móviles, Redes fijas, Broadband, CBRS (Citizens Broadband Radio Service), IoT","900 MHz, 410 MHz, 3.5 GHz, 26 GHz, 3.75-3.8 GHz, 28 GHz, 3.7 GHz, 3.9 GHz, 2.3-2.4 GHz, 410-415 MHz, 420-425 MHz, 806-809 MHz, 851-854 MHz, 2390-2400 MHz, 2485-2495 MHz, 27.5-27.9 GHz, 3900-3980 MHz, 27.5-28.35 GHz, 3.55-3.65 GHz, 896-901 MHz, 935-940 MHz","Disponibilidad de espectro para IMT; tecnologías: 5G, Redes privadas, Redes móviles, Redes fijas; bandas: 900 MHz, 410 MHz, 3.5 GHz, 26 GHz.",10.0,3.0,13.0
Estado y asignación de la banda de 600 MHz para servicios móviles IMT/5G en las Américas,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"IMT, 5G, Servicios de banda ancha inalámbrica, Televisión Digital Terrestre (DTT), TV analógica","600 MHz, UHF, 614–698 MHz, 470–608 MHz, 608–614 MHz, 512–698 MHz, 12.2–12.7 GHz, VHF","Disponibilidad de espectro para IMT; tecnologías: IMT, 5G, Servicios de banda ancha inalámbrica, Televisión Digital Terrestre (DTT); bandas: 600 MHz, UHF, 614–698 MHz, 470–608 MHz.",10.0,3.0,13.0
Estimación de necesidades de espectro mmWave para 5G hasta 2030,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,GSMA,"5G, FWA, EMBB, Industry 4.0, IoT, AR/VR, AGVs","mmWave, 26 GHz, 28 GHz, 40 GHz, 66 GHz, Banda baja, Banda media, Sub-7 GHz","Disponibilidad de espectro para IMT; tecnologías: 5G, FWA, EMBB, Industry 4.0; bandas: mmWave, 26 GHz, 28 GHz, 40 GHz.",10.0,3.0,13.0
Estrategia de conectividad satelital de la Unión Europea y gestión del espectro,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"MEO, Servicios Satelitales Móviles (MSS), Servicios Satelitales Fijos (FSS), D2D, IoT, Infraestructura Europea de Comunicaciones Cuánticas (EuroQCI), Sistemas de comunicación híbridos (satélite y componentes terrestres complementarios)","Banda de 2 GHz (1980–2010 MHz, 2170–2200 MHz), Banda L (1–2 GHz), Banda S (2–4 GHz), banda Ku, Banda K (18–27 GHz), banda Ka, Banda V (37.5–43.5 GHz, 47.2–50.2 GHz, 50.4–52.4 GHz)","Conectividad satelital, NTN y D2D; tecnologías: MEO, Servicios Satelitales Móviles (MSS), Servicios Satelitales Fijos (FSS), D2D; bandas: Banda de 2 GHz (1980–2010 MHz, 2170–2200 MHz), Banda L (1–2 GHz), Banda S (2–4 GHz), banda Ku.",10.0,3.0,13.0
Estado del espectro 5G por encima de 24 GHz en las Américas,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"5G, IMT, Redes móviles, Redes fijas","26 GHz, 28 GHz, 37 GHz, 66–71 GHz (66 GHz), 45.5–47 GHz (47 GHz), 47.2–48.2 GHz, 24 GHz, 39 GHz, 40 GHz, 3.5 GHz, 410 MHz, 900 MHz, 6 GHz, mmWave","Disponibilidad de espectro para IMT; tecnologías: 5G, IMT, Redes móviles, Redes fijas; bandas: 26 GHz, 28 GHz, 37 GHz, 66–71 GHz (66 GHz).",10.0,3.0,13.0
Expansión del uso de la banda de 900 MHz para redes privadas en EE. UU.,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"LTE, 5G, GSM, Narrowband, Broadband, SMR, B/ILT, Wireless networks","900 MHz, 896–901 MHz, 935–940 MHz, 2x5 MHz, 2x3 MHz, Band 106, Band n106, 880–915 MHz, 925–960 MHz, 902–928 MHz, Band 8, Band n8, 2x12.5 kHz","Disponibilidad de espectro para IMT; tecnologías: LTE, 5G, GSM, Narrowband; bandas: 900 MHz, 896–901 MHz, 935–940 MHz, 2x5 MHz.",10.0,3.0,13.0
Extensión de licencias móviles y obligaciones de cobertura en Alemania,"6 GHz, Wi-Fi e IMT",Disponibilidad de espectro,Seguimiento,Alta,1,1,Cullen International,"Redes móviles, Tecnologías inalámbricas","800 MHz, 1800 MHz, 2.6 GHz, Bajo 1 GHz","6 GHz, Wi-Fi e IMT; tecnologías: Redes móviles, Tecnologías inalámbricas; bandas: 800 MHz, 1800 MHz, 2.6 GHz, Bajo 1 GHz.",10.0,3.0,13.0
Estrategias y políticas de espectro para 5G y 6G en Europa,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"5G, 6G, Redes Gigabit, FTTH, Redes inalámbricas de alta velocidad de próxima generación, 4G, 3G","700 MHz, 3.4–3.8 GHz, 6 GHz, 2.1 GHz, 3.5 GHz, 470-694 MHz","Disponibilidad de espectro para IMT; tecnologías: 5G, 6G, Redes Gigabit, FTTH; bandas: 700 MHz, 3.4–3.8 GHz, 6 GHz, 2.1 GHz.",10.0,3.0,13.0
Estrategias y bandas pioneras para el despliegue de 5G en América,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"5G, 4G, IoT, Robótica","3.5 GHz, Below 1 GHz, 6 GHz, 600 MHz, 700 MHz, Above 24 GHz, 3.45–4 GHz, 3.65–3.9 GHz, 3.45–3.65 GHz, 3400–3600 MHz, AWS, 26 GHz, 2.3 GHz, 28 GHz, 2.5 GHz, 800 MHz, 850 MHz, 1427–1517 MHz, 2.1 GHz, 1.9 GHz, 1427–1518 MHz, 2.3–2.4 GHz, 2.5–2.69 GHz, 3.3–3.4 GHz, 4.8–4.9 GHz, 24.25–27.5 GHz, 3.4–3.7 GHz, 3.3–3.8 GHz, mmWave","Disponibilidad de espectro para IMT; tecnologías: 5G, 4G, IoT, Robótica; bandas: 3.5 GHz, Below 1 GHz, 6 GHz, 600 MHz.",10.0,3.0,13.0
Gestión del dividendo digital y reasignación de espectro para servicios móviles,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"Digital Terrestrial Television (DTT), Mobile Broadband, 4G, Wireless Local Area Networks (WLAN), Wireless Metropolitan Area Networks (WMAN), IMT (International Mobile Telecommunications)","700 MHz, 600 MHz, UHF, 800 MHz, 12 GHz (12.2–12.7 GHz)","Disponibilidad de espectro para IMT; tecnologías: Digital Terrestrial Television (DTT), Mobile Broadband, 4G, Wireless Local Area Networks (WLAN); bandas: 700 MHz, 600 MHz, UHF, 800 MHz.",10.0,3.0,13.0
Panorama global de bandas de espectro para 4G y 5G,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"LTE, 5G, Wi-Fi, GSM, UMTS, Intelligent Transport Systems (ITS), DVB-T, DAB radio, Radio enlaces","450 MHz, 600 MHz, 700 MHz, 800 MHz, SMR, 850 MHz, 900 MHz, 1500 MHz, 1800 MHz, 1900 MHz, AWS band, 2.1 GHz, 2.3 GHz, 2.4 GHz, 2.6 GHz, 3.5 GHz, 4.4–5.0 GHz, 5 GHz, 5.9 GHz, 6 GHz, >24 GHz, 26 GHz, 40 GHz, 47.2–48.2 GHz, HF, VHF, UHF, L-band, S-band, C-band, X-band, banda Ku, K-band, banda Ka, V-band, W-band, G-band, E-band, T-Band","Disponibilidad de espectro para IMT; tecnologías: LTE, 5G, Wi-Fi, GSM; bandas: 450 MHz, 600 MHz, 700 MHz, 800 MHz.",10.0,3.0,13.0
Panorama de bandas de espectro para tecnologías móviles y Wi-Fi en Europa y América,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"LTE, 5G, Wi-Fi, GSM, UMTS, NTN, Satélites (MSS), Intelligent Transport Systems (ITS), DVB-T, DAB radio","450 MHz, 600 MHz, 700 MHz, 800 MHz, 850 MHz, 900 MHz, 1500 MHz, 1600/2400 MHz, 1800 MHz, 1900 MHz, AWS band, 2.1 GHz, 2 GHz MSS, 2.3 GHz, 2.4 GHz, 2.6 GHz, 3.5 GHz, 4.4–5.0 GHz, 5 GHz, 5.9 GHz, 6 GHz, 10–30 GHz, >24 GHz, mmWave, 26 GHz, 37 GHz, 47 GHz, 57-71 GHz, HF, VHF, UHF, L-band, S-band, C-band, X-band, banda Ku, K-band, banda Ka, V-band, W-band, G-band, E-band, D-Band, T-Band","Conectividad satelital, NTN y D2D; tecnologías: LTE, 5G, Wi-Fi, GSM; bandas: 450 MHz, 600 MHz, 700 MHz, 800 MHz.",10.0,3.0,13.0
Oposición a la centralización de la gestión del espectro y autorización satelital en la UE,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"NTN, Satélites, D2D",Mobile bands,"Conectividad satelital, NTN y D2D; tecnologías: NTN, Satélites, D2D; bandas: Mobile bands.",10.0,3.0,13.0
Marco de renovación de licencias de espectro en América,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"Servicios móviles comerciales, Servicios de comunicación inalámbrica, Banda ancha móvil","850 MHz, 1900 MHz, 700 MHz, AWS, 3.5 GHz, 900 MHz, 1800 MHz, 2100 MHz, 2.3 GHz, 2500-2690 MHz, 2600 MHz, 3400 MHz, 800 MHz","Disponibilidad de espectro para IMT; tecnologías: Servicios móviles comerciales, Servicios de comunicación inalámbrica, Banda ancha móvil; bandas: 850 MHz, 1900 MHz, 700 MHz, AWS.",10.0,3.0,13.0
Medidas regulatorias para fomentar la entrada de nuevos operadores en subastas de espectro,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"Redes móviles, 5G, Banda ancha inalámbrica, WiMAX, RAN sharing, WLL","700 MHz, 800 MHz, 900 MHz, 1500 MHz, 1800 MHz, 2.1 GHz, 2.3 GHz, 2.6 GHz, 6 GHz, 3.4-3.8 GHz, 3.5 GHz, 3.6-3.8 GHz, 1452-1492 MHz, 26 GHz, Bandas por debajo de 1 GHz","Disponibilidad de espectro para IMT; tecnologías: Redes móviles, 5G, Banda ancha inalámbrica, WiMAX; bandas: 700 MHz, 800 MHz, 900 MHz, 1500 MHz.",10.0,3.0,13.0
Marco regulatorio armonizado de la UE para el espectro y servicios satelitales,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"Redes satelitales, Servicios de comunicación satelital, Redes terrestres, D2D","Bandas de espectro satelital, Bandas móviles","Conectividad satelital, NTN y D2D; tecnologías: Redes satelitales, Servicios de comunicación satelital, Redes terrestres, D2D; bandas: Bandas de espectro satelital, Bandas móviles.",10.0,3.0,13.0
Marco legal y regulatorio de la gestión del espectro radioeléctrico en Europa,Armonización y gestión internacional,Gestión internacional del espectro,Seguimiento,Alta,1,1,Cullen International,"Espectro radioeléctrico, Comunicaciones electrónicas, Radiotelegrafía","UHF, 470–790 MHz","Armonización y gestión internacional; tecnologías: Espectro radioeléctrico, Comunicaciones electrónicas, Radiotelegrafía; bandas: UHF, 470–790 MHz.",10.0,3.0,13.0
Límites de espectro (spectrum caps) y su aplicación regulatoria,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"5G, Servicios móviles, Broadband Radio Service (BRS)","<1 GHz, 1-3 GHz, 6 GHz, >24 GHz, 700 MHz, 1800 MHz, 2.1 GHz, 2.3 GHz, 2.5 GHz, 3.5 GHz, 3.8 GHz, 600 MHz, AWS (1700-2100 MHz), AWS-1 (1710-1755/2110-2155 MHz), 800 MHz, 850 MHz, PCS, 1.7 GHz, 1.9 GHz, 2.6 GHz, 28 GHz, 37 GHz, 39 GHz, mmWave","Disponibilidad de espectro para IMT; tecnologías: 5G, Servicios móviles, Broadband Radio Service (BRS); bandas: <1 GHz, 1-3 GHz, 6 GHz, >24 GHz.",10.0,3.0,13.0
Límites de exposición a campos electromagnéticos (EMF) y su regulación,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"Redes móviles, 5G, Sistemas de antenas activas, Dispositivos portátiles","100 kHz a 300 GHz, 3 kHz a 300 GHz, 400 MHz a 2 GHz, 2 GHz a 300 GHz, 6 GHz, 9 KHz a 2700 MHz, 2700 MHz a 300 GHz","Disponibilidad de espectro para IMT; tecnologías: Redes móviles, 5G, Sistemas de antenas activas, Dispositivos portátiles; bandas: 100 kHz a 300 GHz, 3 kHz a 300 GHz, 400 MHz a 2 GHz, 2 GHz a 300 GHz.",10.0,3.0,13.0
Límites de exposición a campos electromagnéticos y su regulación,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"Redes móviles, Sistemas de antenas activas, Teléfonos móviles","Hasta 300 GHz, 100 kHz a 300 GHz, 3.5 GHz, 2 a 300 GHz, Menos de 2 GHz, 400 MHz a 300 GHz, 400 MHz a 2 GHz, 900 MHz, 6 GHz, 6 a 300 GHz","Disponibilidad de espectro para IMT; tecnologías: Redes móviles, Sistemas de antenas activas, Teléfonos móviles; bandas: Hasta 300 GHz, 100 kHz a 300 GHz, 3.5 GHz, 2 a 300 GHz.",10.0,3.0,13.0
Licenciamiento de bandas móviles tradicionales en Europa,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"GSM, UMTS, LTE, WiMAX, 5G, DECT","800 MHz, 900 MHz, 1800 MHz, 2.1 GHz, 2.6 GHz, 3.4-3.8 GHz","Disponibilidad de espectro para IMT; tecnologías: GSM, UMTS, LTE, WiMAX; bandas: 800 MHz, 900 MHz, 1800 MHz, 2.1 GHz.",10.0,3.0,13.0
Implementación y armonización de bandas pioneras 5G en la UE,Disponibilidad de espectro para IMT,Disponibilidad de espectro,Ajuste a iniciativa existente,Alta,1,1,Cullen International,"5G, Banda ancha inalámbrica, Redes móviles, TDD","3.4–3.8 GHz, 700 MHz, 26 GHz, 24.25–27.5 GHz, 66–71 GHz, Por debajo de 1 GHz, Por encima de 24 GHz","Disponibilidad de espectro para IMT; tecnologías: 5G, Banda ancha inalámbrica, Redes móviles, TDD; bandas: 3.4–3.8 GHz, 700 MHz, 26 GHz, 24.25–27.5 GHz.",10.0,3.0,13.0
Liberación de la banda de 3.5 GHz en Brasil para 5G,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"5G, Televisión satelital (FTA), Televisión digital, Redes móviles","3.5 GHz, 3625–3700 MHz, 3700–4200 MHz, banda Ku","Conectividad satelital, NTN y D2D; tecnologías: 5G, Televisión satelital (FTA), Televisión digital, Redes móviles; bandas: 3.5 GHz, 3625–3700 MHz, 3700–4200 MHz, banda Ku.",10.0,3.0,13.0
Hoja de ruta del espectro 6G en Europa y su regulación,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"6G, 5G, NTN, D2D, Sensing y comunicaciones integradas","6 GHz, 700 MHz, 800 MHz, 900 MHz, 1500 MHz, 1800 MHz, 2.1 GHz, 2.6 GHz, 3.5 GHz, 26 GHz, 42 GHz, 3.8–4.2 GHz, 7125–7250 MHz, Bandas Sub-THz","Conectividad satelital, NTN y D2D; tecnologías: 6G, 5G, NTN, D2D; bandas: 6 GHz, 700 MHz, 800 MHz, 900 MHz.",10.0,3.0,13.0
Hoja de ruta 6G de Finlandia para 2025-2030,"Conectividad satelital, NTN y D2D",Conectividad satelital,Nota técnica,Alta,1,1,Cullen International,"6G, 5G, 5G-Advanced, Open RAN, IA, Quantum, Satélites, Cloud, Edge services, Wi-Fi, 4G","6 GHz, 700 MHz","Conectividad satelital, NTN y D2D; tecnologías: 6G, 5G, 5G-Advanced, Open RAN; bandas: 6 GHz, 700 MHz.",10.0,3.0,13.0
